"","year","month","max_temp","min_temp","mean_temp","rain_mm","snow_cm","hot_days","cold_days","winter_rain"
0,1874,6.526027397260274,9.366849315068494,0.9263013698630174,5.1509589041095865,681.3999999999995,307.8000000000002,1.0,26.0,117.60000000000001
1,1875,6.526027397260274,7.960000000000002,-0.4873972602739727,3.7391780821917813,706.5000000000001,301.20000000000016,2.0,34.0,24.099999999999998
2,1876,6.5136612021857925,9.514480874316936,1.3669398907103816,5.4480874316939945,685.8210382513657,362.806010928962,11.967213114754099,23.934426229508198,58.73907103825137
3,1877,6.526027397260274,11.428099173553715,3.012396694214876,7.229201101928379,606.3223140495869,194.36501377410474,2.9999999999999996,9.0,35.3939393939394
4,1878,6.526027397260274,11.502739726027393,3.5065753424657493,7.517260273972609,825.4,282.00000000000006,7.0,10.0,85.9
5,1879,6.526027397260274,9.94368131868132,0.4184065934065916,5.186263736263734,577.5824175824177,390.4697802197804,1.0,19.0,41.31318681318681
6,1880,6.5136612021857925,11.099180327868847,1.073497267759563,6.092076502732236,749.0478142076505,277.3401639344264,0.0,9.972677595628415,66.91666666666666
7,1881,6.526027397260274,11.158082191780816,2.0589041095890415,6.6202739726027335,634.6999999999998,193.00000000000006,5.999999999999999,17.0,134.10000000000002
8,1882,6.526027397260274,9.817808219178085,1.2953424657534238,5.566575342465755,671.0999999999999,283.20000000000016,5.0,19.0,31.000000000000004
9,1883,6.526027397260274,8.947123287671234,-0.19698630136986767,4.381643835616437,682.8000000000001,293.7000000000001,0.0,31.0,47.800000000000004
10,1884,6.5136612021857925,9.8068306010929,0.9327868852459033,5.376775956284153,728.0054644808743,345.45355191256846,10.969945355191257,31.91256830601093,98.43032786885244
11,1885,6.526027397260274,8.604657534246575,-0.05369863013698748,4.281095890410957,724.5999999999997,422.3000000000002,1.0,35.0,76.0
12,1886,6.526027397260274,9.723835616438354,0.8361643835616457,5.2865753424657616,682.7,294.6,1.0,33.0,91.70000000000002
13,1887,6.526027397260274,9.564931506849307,0.5890410958904164,5.08164383561644,536.6000000000004,428.40000000000015,8.0,30.0,94.3
14,1888,6.5136612021857925,8.593989071038246,0.3224043715846962,4.466120218579237,780.8606557377047,336.47814207650293,2.9918032786885247,33.907103825136616,53.15437158469945
15,1889,6.526027397260274,10.275890410958901,2.17041095890411,6.231232876712329,879.7999999999997,300.6000000000002,2.0,11.999999999999998,135.20000000000002
